(reinforcement) C:\Users\Kelvin\Desktop\reinforcement learning\Chapter 7>python 03_dqn_double.py --cuda --double
78525: done 88 games, mean reward -20.500, speed 51.68 f/s, eps 0.21
79359: done 89 games, mean reward -20.494, speed 52.40 f/s, eps 0.21
80238: done 90 games, mean reward -20.500, speed 51.92 f/s, eps 0.20
81385: done 91 games, mean reward -20.495, speed 52.95 f/s, eps 0.19
82319: done 92 games, mean reward -20.500, speed 51.87 f/s, eps 0.18
83425: done 93 games, mean reward -20.495, speed 51.31 f/s, eps 0.17
84650: done 94 games, mean reward -20.489, speed 51.74 f/s, eps 0.15
85735: done 95 games, mean reward -20.484, speed 53.00 f/s, eps 0.14
86916: done 96 games, mean reward -20.479, speed 52.11 f/s, eps 0.13
88456: done 97 games, mean reward -20.464, speed 50.60 f/s, eps 0.12
89478: done 98 games, mean reward -20.459, speed 52.14 f/s, eps 0.11
90664: done 99 games, mean reward -20.465, speed 51.89 f/s, eps 0.09
91923: done 100 games, mean reward -20.460, speed 49.96 f/s, eps 0.08
92962: done 101 games, mean reward -20.470, speed 50.57 f/s, eps 0.07
94106: done 102 games, mean reward -20.480, speed 50.10 f/s, eps 0.06
95355: done 103 games, mean reward -20.470, speed 50.42 f/s, eps 0.05
96439: done 104 games, mean reward -20.470, speed 49.82 f/s, eps 0.04
97750: done 105 games, mean reward -20.480, speed 50.49 f/s, eps 0.02
99170: done 106 games, mean reward -20.460, speed 50.15 f/s, eps 0.02
100020: done 107 games, mean reward -20.470, speed 50.77 f/s, eps 0.02
101100: done 108 games, mean reward -20.470, speed 50.43 f/s, eps 0.02
102473: done 109 games, mean reward -20.470, speed 50.71 f/s, eps 0.02
103771: done 110 games, mean reward -20.450, speed 50.86 f/s, eps 0.02
105649: done 111 games, mean reward -20.430, speed 50.74 f/s, eps 0.02
106751: done 112 games, mean reward -20.420, speed 50.59 f/s, eps 0.02
108329: done 113 games, mean reward -20.400, speed 50.71 f/s, eps 0.02
110360: done 114 games, mean reward -20.370, speed 51.07 f/s, eps 0.02
112886: done 115 games, mean reward -20.310, speed 50.69 f/s, eps 0.02
114597: done 116 games, mean reward -20.310, speed 50.81 f/s, eps 0.02
116125: done 117 games, mean reward -20.300, speed 50.80 f/s, eps 0.02
117849: done 118 games, mean reward -20.290, speed 50.54 f/s, eps 0.02
119800: done 119 games, mean reward -20.250, speed 50.18 f/s, eps 0.02
121571: done 120 games, mean reward -20.230, speed 47.72 f/s, eps 0.02
123464: done 121 games, mean reward -20.190, speed 48.27 f/s, eps 0.02
125212: done 122 games, mean reward -20.180, speed 49.28 f/s, eps 0.02
126790: done 123 games, mean reward -20.170, speed 48.92 f/s, eps 0.02
128521: done 124 games, mean reward -20.130, speed 48.47 f/s, eps 0.02
130205: done 125 games, mean reward -20.120, speed 49.22 f/s, eps 0.02
132053: done 126 games, mean reward -20.100, speed 50.58 f/s, eps 0.02
133757: done 127 games, mean reward -20.090, speed 51.01 f/s, eps 0.02
135845: done 128 games, mean reward -20.050, speed 50.71 f/s, eps 0.02
137537: done 129 games, mean reward -20.050, speed 50.67 f/s, eps 0.02
139604: done 130 games, mean reward -19.990, speed 50.45 f/s, eps 0.02
141443: done 131 games, mean reward -19.980, speed 50.56 f/s, eps 0.02
143387: done 132 games, mean reward -19.960, speed 50.66 f/s, eps 0.02
145366: done 133 games, mean reward -19.960, speed 50.68 f/s, eps 0.02
147575: done 134 games, mean reward -19.940, speed 50.71 f/s, eps 0.02
149694: done 135 games, mean reward -19.910, speed 50.80 f/s, eps 0.02
152125: done 136 games, mean reward -19.900, speed 50.61 f/s, eps 0.02
154340: done 137 games, mean reward -19.880, speed 50.46 f/s, eps 0.02
156462: done 138 games, mean reward -19.820, speed 50.31 f/s, eps 0.02
158131: done 139 games, mean reward -19.820, speed 50.40 f/s, eps 0.02
160285: done 140 games, mean reward -19.790, speed 50.41 f/s, eps 0.02
162398: done 141 games, mean reward -19.760, speed 50.46 f/s, eps 0.02
164392: done 142 games, mean reward -19.740, speed 50.66 f/s, eps 0.02
166943: done 143 games, mean reward -19.670, speed 50.46 f/s, eps 0.02
169153: done 144 games, mean reward -19.640, speed 50.56 f/s, eps 0.02
171775: done 145 games, mean reward -19.620, speed 50.14 f/s, eps 0.02
173887: done 146 games, mean reward -19.610, speed 50.33 f/s, eps 0.02
175783: done 147 games, mean reward -19.560, speed 48.52 f/s, eps 0.02
177817: done 148 games, mean reward -19.550, speed 50.16 f/s, eps 0.02
179725: done 149 games, mean reward -19.540, speed 50.41 f/s, eps 0.02
182400: done 150 games, mean reward -19.480, speed 50.73 f/s, eps 0.02
185319: done 151 games, mean reward -19.410, speed 50.49 f/s, eps 0.02
188022: done 152 games, mean reward -19.330, speed 49.86 f/s, eps 0.02
190437: done 153 games, mean reward -19.320, speed 50.58 f/s, eps 0.02
192844: done 154 games, mean reward -19.270, speed 50.90 f/s, eps 0.02
195200: done 155 games, mean reward -19.210, speed 50.46 f/s, eps 0.02
197653: done 156 games, mean reward -19.130, speed 50.53 f/s, eps 0.02
200461: done 157 games, mean reward -18.990, speed 50.93 f/s, eps 0.02
203304: done 158 games, mean reward -18.920, speed 50.86 f/s, eps 0.02
205985: done 159 games, mean reward -18.840, speed 50.53 f/s, eps 0.02
207719: done 160 games, mean reward -18.820, speed 50.33 f/s, eps 0.02
209778: done 161 games, mean reward -18.780, speed 50.72 f/s, eps 0.02
212381: done 162 games, mean reward -18.630, speed 50.38 f/s, eps 0.02
214492: done 163 games, mean reward -18.580, speed 50.61 f/s, eps 0.02
217354: done 164 games, mean reward -18.430, speed 50.64 f/s, eps 0.02
219569: done 165 games, mean reward -18.370, speed 50.74 f/s, eps 0.02
222518: done 166 games, mean reward -18.300, speed 50.71 f/s, eps 0.02
225337: done 167 games, mean reward -18.240, speed 50.47 f/s, eps 0.02
228316: done 168 games, mean reward -17.960, speed 50.60 f/s, eps 0.02
230939: done 169 games, mean reward -17.810, speed 50.64 f/s, eps 0.02
233843: done 170 games, mean reward -17.650, speed 50.45 f/s, eps 0.02
236076: done 171 games, mean reward -17.580, speed 50.53 f/s, eps 0.02
238276: done 172 games, mean reward -17.520, speed 50.77 f/s, eps 0.02
240995: done 173 games, mean reward -17.410, speed 50.82 f/s, eps 0.02
243835: done 174 games, mean reward -17.260, speed 50.32 f/s, eps 0.02
246324: done 175 games, mean reward -17.190, speed 50.29 f/s, eps 0.02
248862: done 176 games, mean reward -17.080, speed 50.41 f/s, eps 0.02
251885: done 177 games, mean reward -16.920, speed 50.76 f/s, eps 0.02
253884: done 178 games, mean reward -16.880, speed 50.40 f/s, eps 0.02
256382: done 179 games, mean reward -16.790, speed 50.79 f/s, eps 0.02
259162: done 180 games, mean reward -16.690, speed 50.60 f/s, eps 0.02
261928: done 181 games, mean reward -16.570, speed 50.83 f/s, eps 0.02
265054: done 182 games, mean reward -16.400, speed 50.83 f/s, eps 0.02
267814: done 183 games, mean reward -16.270, speed 50.82 f/s, eps 0.02
269473: done 184 games, mean reward -16.250, speed 50.87 f/s, eps 0.02
272782: done 185 games, mean reward -16.030, speed 50.77 f/s, eps 0.02
274592: done 186 games, mean reward -16.020, speed 50.61 f/s, eps 0.02
277562: done 187 games, mean reward -15.880, speed 50.55 f/s, eps 0.02
280431: done 188 games, mean reward -15.710, speed 50.31 f/s, eps 0.02
283220: done 189 games, mean reward -15.430, speed 50.90 f/s, eps 0.02
286142: done 190 games, mean reward -15.260, speed 50.76 f/s, eps 0.02
288443: done 191 games, mean reward -14.970, speed 51.05 f/s, eps 0.02
291605: done 192 games, mean reward -14.800, speed 50.66 f/s, eps 0.02
293850: done 193 games, mean reward -14.480, speed 50.70 f/s, eps 0.02
296928: done 194 games, mean reward -14.250, speed 50.58 f/s, eps 0.02
299970: done 195 games, mean reward -14.070, speed 50.92 f/s, eps 0.02
301895: done 196 games, mean reward -13.690, speed 50.52 f/s, eps 0.02
304081: done 197 games, mean reward -13.360, speed 50.76 f/s, eps 0.02
307098: done 198 games, mean reward -13.120, speed 50.00 f/s, eps 0.02
309260: done 199 games, mean reward -13.040, speed 50.20 f/s, eps 0.02
311599: done 200 games, mean reward -12.720, speed 50.78 f/s, eps 0.02
313588: done 201 games, mean reward -12.370, speed 50.63 f/s, eps 0.02
316951: done 202 games, mean reward -12.150, speed 50.33 f/s, eps 0.02
319500: done 203 games, mean reward -11.850, speed 50.51 f/s, eps 0.02
322916: done 204 games, mean reward -11.750, speed 50.23 f/s, eps 0.02
325028: done 205 games, mean reward -11.370, speed 50.09 f/s, eps 0.02
326751: done 206 games, mean reward -10.980, speed 50.68 f/s, eps 0.02
328578: done 207 games, mean reward -10.580, speed 49.78 f/s, eps 0.02
332093: done 208 games, mean reward -10.340, speed 50.46 f/s, eps 0.02
334047: done 209 games, mean reward -9.960, speed 49.74 f/s, eps 0.02
336341: done 210 games, mean reward -9.980, speed 50.34 f/s, eps 0.02
339229: done 211 games, mean reward -9.830, speed 50.16 f/s, eps 0.02
341214: done 212 games, mean reward -9.490, speed 46.60 f/s, eps 0.02
344215: done 213 games, mean reward -9.240, speed 45.38 f/s, eps 0.02
346411: done 214 games, mean reward -8.900, speed 42.35 f/s, eps 0.02
348506: done 215 games, mean reward -8.620, speed 44.06 f/s, eps 0.02
350613: done 216 games, mean reward -8.270, speed 29.75 f/s, eps 0.02
354021: done 217 games, mean reward -8.030, speed 43.44 f/s, eps 0.02
356144: done 218 games, mean reward -7.670, speed 44.32 f/s, eps 0.02
358025: done 219 games, mean reward -7.320, speed 44.47 f/s, eps 0.02
359958: done 220 games, mean reward -6.960, speed 45.50 f/s, eps 0.02
361651: done 221 games, mean reward -6.580, speed 44.44 f/s, eps 0.02
363793: done 222 games, mean reward -6.210, speed 47.85 f/s, eps 0.02
365634: done 223 games, mean reward -5.830, speed 45.39 f/s, eps 0.02
367421: done 224 games, mean reward -5.480, speed 45.94 f/s, eps 0.02
370657: done 225 games, mean reward -5.300, speed 46.70 f/s, eps 0.02
372393: done 226 games, mean reward -4.920, speed 45.70 f/s, eps 0.02
374212: done 227 games, mean reward -4.540, speed 47.56 f/s, eps 0.02
376019: done 228 games, mean reward -4.190, speed 44.61 f/s, eps 0.02
377959: done 229 games, mean reward -3.800, speed 46.54 f/s, eps 0.02
379780: done 230 games, mean reward -3.460, speed 47.10 f/s, eps 0.02
381444: done 231 games, mean reward -3.070, speed 45.65 f/s, eps 0.02
383431: done 232 games, mean reward -2.700, speed 46.24 f/s, eps 0.02
385610: done 233 games, mean reward -2.330, speed 46.07 f/s, eps 0.02
387314: done 234 games, mean reward -1.950, speed 46.21 f/s, eps 0.02
389509: done 235 games, mean reward -1.610, speed 46.20 f/s, eps 0.02
391141: done 236 games, mean reward -1.210, speed 39.42 f/s, eps 0.02
394471: done 237 games, mean reward -1.000, speed 43.26 f/s, eps 0.02
397583: done 238 games, mean reward -0.790, speed 2.68 f/s, eps 0.02
399443: done 239 games, mean reward -0.420, speed 43.52 f/s, eps 0.02
401575: done 240 games, mean reward -0.090, speed 46.02 f/s, eps 0.02
403257: done 241 games, mean reward 0.290, speed 47.32 f/s, eps 0.02
405439: done 242 games, mean reward 0.630, speed 2.80 f/s, eps 0.02
408694: done 243 games, mean reward 0.780, speed 44.89 f/s, eps 0.02
410744: done 244 games, mean reward 1.120, speed 47.17 f/s, eps 0.02
412996: done 245 games, mean reward 1.440, speed 46.07 f/s, eps 0.02
415982: done 246 games, mean reward 1.670, speed 45.85 f/s, eps 0.02
417981: done 247 games, mean reward 2.010, speed 45.59 f/s, eps 0.02
419971: done 248 games, mean reward 2.380, speed 45.62 f/s, eps 0.02
422242: done 249 games, mean reward 2.730, speed 47.19 f/s, eps 0.02
423873: done 250 games, mean reward 3.070, speed 47.07 f/s, eps 0.02
425647: done 251 games, mean reward 3.390, speed 47.06 f/s, eps 0.02
427462: done 252 games, mean reward 3.720, speed 46.73 f/s, eps 0.02
429885: done 253 games, mean reward 4.040, speed 46.21 f/s, eps 0.02
432606: done 254 games, mean reward 4.300, speed 46.53 f/s, eps 0.02
434459: done 255 games, mean reward 4.620, speed 46.84 f/s, eps 0.02
436509: done 256 games, mean reward 4.620, speed 45.54 f/s, eps 0.02
438559: done 257 games, mean reward 4.850, speed 46.96 f/s, eps 0.02
440431: done 258 games, mean reward 5.170, speed 45.82 f/s, eps 0.02
443187: done 259 games, mean reward 5.370, speed 42.31 f/s, eps 0.02
445049: done 260 games, mean reward 5.740, speed 49.60 f/s, eps 0.02
446949: done 261 games, mean reward 6.090, speed 50.26 f/s, eps 0.02
449146: done 262 games, mean reward 6.280, speed 50.41 f/s, eps 0.02
451388: done 263 games, mean reward 6.600, speed 50.71 f/s, eps 0.02
453160: done 264 games, mean reward 6.860, speed 50.39 f/s, eps 0.02
455005: done 265 games, mean reward 7.200, speed 50.40 f/s, eps 0.02
457310: done 266 games, mean reward 7.450, speed 50.40 f/s, eps 0.02
458967: done 267 games, mean reward 7.810, speed 50.79 f/s, eps 0.02
461205: done 268 games, mean reward 7.900, speed 50.39 f/s, eps 0.02
462921: done 269 games, mean reward 8.150, speed 50.44 f/s, eps 0.02
464609: done 270 games, mean reward 8.390, speed 50.55 f/s, eps 0.02
466395: done 271 games, mean reward 8.710, speed 50.73 f/s, eps 0.02
468460: done 272 games, mean reward 9.030, speed 50.48 f/s, eps 0.02
470550: done 273 games, mean reward 9.280, speed 50.62 f/s, eps 0.02
472699: done 274 games, mean reward 9.500, speed 50.58 f/s, eps 0.02
475296: done 275 games, mean reward 9.750, speed 50.69 f/s, eps 0.02
476931: done 276 games, mean reward 10.040, speed 50.42 f/s, eps 0.02
479683: done 277 games, mean reward 10.160, speed 50.33 f/s, eps 0.02
481375: done 278 games, mean reward 10.530, speed 50.42 f/s, eps 0.02
483134: done 279 games, mean reward 10.850, speed 50.18 f/s, eps 0.02
485150: done 280 games, mean reward 11.110, speed 50.65 f/s, eps 0.02
486901: done 281 games, mean reward 11.390, speed 50.30 f/s, eps 0.02
488904: done 282 games, mean reward 11.600, speed 50.47 f/s, eps 0.02
490753: done 283 games, mean reward 11.860, speed 50.14 f/s, eps 0.02
492702: done 284 games, mean reward 12.210, speed 49.94 f/s, eps 0.02
494366: done 285 games, mean reward 12.390, speed 49.71 f/s, eps 0.02
496060: done 286 games, mean reward 12.790, speed 50.47 f/s, eps 0.02
